Open,High,Low,Close,Adj Close,Volume
2.149165,2.173495,2.149165,2.15322,0.003195,1089200
2.15322,2.173495,2.141055,2.149165,0.003189,1173500
2.149165,2.16944,2.141055,2.149165,0.003189,5208100
2.149165,2.157275,2.116725,2.124835,0.003153,1421400
2.124835,2.137,2.112669,2.112669,0.003135,671800
2.112669,2.12889,2.096449,2.096449,0.003111,1036600
2.096449,2.100504,2.043734,2.084284,0.003093,6589200
2.084284,2.108614,2.068064,2.084284,0.003093,1430100
2.084284,2.104559,2.084284,2.100504,0.003117,931400
2.108614,2.15322,2.108614,2.132945,0.003165,2939300
2.132945,2.15322,2.12078,2.124835,0.003153,1460700
2.124835,2.132945,2.100504,2.132945,0.003165,750400
2.132945,2.14511,2.112669,2.12078,0.003147,529300
2.12078,2.141055,2.12078,2.12889,0.003159,894100
2.12889,2.132945,2.108614,2.108614,0.003129,1608800
2.104559,2.104559,2.076174,2.096449,0.003111,1282200
2.092394,2.092394,2.072119,2.092394,0.003105,1273300
2.092394,2.092394,2.076174,2.084284,0.003093,621300
2.084284,2.100504,2.084284,2.100504,0.003117,877700
2.100504,2.112669,2.092394,2.096449,0.003111,904100
2.096449,2.104559,2.088339,2.088339,0.003099,448000
2.076174,2.076174,2.051844,2.072119,0.003074,825100
2.072119,2.072119,2.051844,2.064009,0.003062,438200
2.064009,2.068064,2.031569,2.051844,0.003044,1395000
2.059954,2.096449,2.059954,2.076174,0.00308,1173500
2.076174,2.088339,2.051844,2.068064,0.003068,1351100
2.068064,2.072119,2.043734,2.043734,0.003032,523700
2.043734,2.059954,2.031569,2.031569,0.003014,546600
2.031569,2.059954,2.015349,2.015349,0.00299,1801800
2.015349,2.019404,1.991019,2.015349,0.00299,680300
2.015349,2.027514,2.007239,2.011294,0.002984,941200
2.011294,2.027514,2.003184,2.011294,0.002984,583000
2.011294,2.035624,1.978854,2.031569,0.003014,1338000
2.031569,2.076174,2.027514,2.043734,0.003032,1707400
2.043734,2.051844,2.015349,2.015349,0.00299,492900
2.015349,2.051844,2.015349,2.043734,0.003032,602500
2.059954,2.112669,2.059954,2.100504,0.003117,1456400
2.100504,2.104559,2.084284,2.092394,0.003137,1552900
2.092394,2.092394,2.080229,2.084284,0.003125,430500
2.084284,2.088339,2.076174,2.076174,0.003113,1109000
2.084284,2.112669,2.084284,2.096449,0.003143,1814900
2.096449,2.112669,2.088339,2.096449,0.003143,1259200
2.096449,2.100504,2.076174,2.096449,0.003143,1424700
2.096449,2.124835,2.096449,2.124835,0.003186,2140400
2.137,2.181605,2.137,2.16133,0.003241,4331200
2.16133,2.16944,2.16133,2.16944,0.003253,1188000
2.16944,2.181605,2.16944,2.173495,0.003259,1929800
2.173495,2.173495,2.157275,2.165385,0.003247,948000
2.165385,2.16944,2.12078,2.132945,0.003198,2822000
2.132945,2.137,2.12078,2.137,0.003204,1203200
2.141055,2.157275,2.141055,2.15322,0.003228,1283300
2.16133,2.17755,2.16133,2.165385,0.003247,1888200
2.165385,2.16944,2.132945,2.149165,0.003222,1125400
2.141055,2.141055,2.092394,2.092394,0.003137,1138700
2.092394,2.12889,2.092394,2.12889,0.003192,2131700
2.12889,2.137,2.124835,2.12889,0.003192,973000
2.12889,2.137,2.112669,2.137,0.003204,1006000
2.15322,2.17755,2.15322,2.16944,0.003253,1703000
2.173495,2.258651,2.173495,2.254596,0.00338,3170600
2.254596,2.254596,2.2181,2.222155,0.003332,2447200
2.222155,2.22621,2.19377,2.19377,0.003289,1584700
2.19377,2.214045,2.19377,2.19377,0.003289,583000
2.189715,2.189715,2.12889,2.157275,0.003235,1954100
2.157275,2.157275,2.141055,2.141055,0.00321,904100
2.141055,2.18566,2.141055,2.18566,0.003277,780200
2.18566,2.20188,2.181605,2.18566,0.003277,694700
2.18566,2.19377,2.157275,2.157275,0.003235,388900
2.157275,2.157275,2.12889,2.141055,0.00321,660600
2.14511,2.16944,2.14511,2.149165,0.003222,739600
2.149165,2.16133,2.141055,2.14511,0.003216,740700
2.14511,2.14511,2.137,2.141055,0.00321,573000
2.141055,2.141055,2.112669,2.116725,0.003174,1232900
2.116725,2.12889,2.100504,2.12889,0.003192,775800
2.12889,2.141055,2.116725,2.124835,0.003186,484200
2.124835,2.137,2.12078,2.12889,0.003192,494200
2.124835,2.124835,2.112669,2.124835,0.003186,296800
2.124835,2.12889,2.112669,2.116725,0.003174,852500
2.116725,2.12078,2.088339,2.100504,0.003149,1643800
2.092394,2.092394,2.047789,2.051844,0.003076,1592200
2.051844,2.068064,2.043734,2.068064,0.003101,828400
2.068064,2.084284,2.059954,2.072119,0.003107,671800
2.072119,2.092394,2.068064,2.084284,0.003125,632300
2.084284,2.12078,2.084284,2.116725,0.003174,1962800
2.116725,2.14511,2.100504,2.14511,0.003216,2102000
2.157275,2.173495,2.157275,2.16133,0.003241,1617500
2.16133,2.173495,2.157275,2.165385,0.003247,710100
2.165385,2.165385,2.12889,2.132945,0.003198,832800
2.132945,2.149165,2.12889,2.12889,0.003192,793300
2.12889,2.12889,2.108614,2.116725,0.003174,647500
2.116725,2.12078,2.080229,2.116725,0.003174,1101300
2.116725,2.132945,2.112669,2.124835,0.003186,670500
2.132945,2.15322,2.132945,2.141055,0.00321,842600
2.137,2.137,2.12078,2.137,0.003204,394300
2.12889,2.12889,2.12078,2.12078,0.00318,401000
2.12078,2.124835,2.076174,2.088339,0.003131,2529400
2.084284,2.084284,2.068064,2.076174,0.003113,375600
2.076174,2.076174,2.059954,2.068064,0.003101,1691000
2.068064,2.096449,2.068064,2.076174,0.003113,598200
2.076174,2.076174,2.059954,2.064009,0.003095,1207600
2.068064,2.104559,2.068064,2.100504,0.003149,1795000
2.100504,2.116725,2.100504,2.104559,0.003155,2506500
2.108614,2.137,2.108614,2.137,0.003204,1209700
2.132945,2.132945,2.116725,2.124835,0.003219,1071600
2.124835,2.132945,2.12078,2.12889,0.003225,1355500
2.12889,2.149165,2.124835,2.149165,0.003256,1653500
2.149165,2.15322,2.137,2.141055,0.003243,1351100
2.14511,2.157275,2.14511,2.149165,0.003256,1564900
2.16133,2.205935,2.16133,2.197825,0.003329,2307900
2.2181,2.262706,2.2181,2.258651,0.003422,4606400
2.274871,2.335696,2.274871,2.335696,0.003538,6264700
2.339751,2.384356,2.339751,2.360026,0.003575,3689100
2.360026,2.396522,2.347861,2.347861,0.003557,4449800
2.347861,2.396522,2.319476,2.396522,0.00363,3305400
2.396522,2.445182,2.396522,2.428962,0.00368,8325300
2.428962,2.441127,2.404632,2.404632,0.003643,3111400
2.404632,2.445182,2.384356,2.445182,0.003704,2515200
2.445182,2.461402,2.424907,2.428962,0.00368,2692700
2.428962,2.465457,2.404632,2.465457,0.003735,2861500
